아파트명,소재지도로명주소,소재지지번주소,위도,경도,층수,관리사무소전화번호,팩스번호,세대수,사업승인일,사용검사일,데이터기준일자
미영,"경기도 수원시 권선구 정조로 432 (세류동, 미영아파트)",경기도 수원시 권선구 세류동 1147,37.2475,127.0145,4,031-238-3443,031-234-7939,600,1986-06-05,1988-06-20,2025-08-15
삼성1차,"경기도 수원시 영통구 인계로 219 (매탄동, 삼성1차아파트)",경기도 수원시 영통구 매탄동 810-3,37.2656,127.0414,15,031-212-2650,031-216-2305,930,1988-10-07,1988-10-27,2025-08-15
매탄동남,"경기도 수원시 영통구 동수원로 432 (매탄동, 동남아파트)",경기도 수원시 영통구 매탄동 810-2,37.2673,127.0426,15,031-213-2288,031-213-5618,892,1988-05-01,1989-07-05,2025-08-15
매탄현대,"경기도 수원시 영통구 동수원로 448 (매탄동, 현대아파트)",경기도 수원시 영통구 매탄동 810-1,37.2688,127.0428,15,031-212-1114,031-211-4472,690,1988-03-14,1989-07-06,2025-08-15
조원벽산,"경기도 수원시 장안구 조원로 16 (조원동, 벽산아파트)",경기도 수원시 장안구 조원동 510-1,37.2969,127.0214,10,031-247-7196,031-247-7197,740,1989-07-18,1989-07-18,2025-08-15
우만주공2단지,"경기도 수원시 팔달구 중부대로223번길 54-13 (우만동, 우만주공2단지아파트)",경기도 수원시 팔달구 우만동 32-1,37.2775,127.0418,15,031-212-3380,031-211-5130,984,1987-10-01,1989-07-23,2025-08-15
삼성2차,"경기도 수원시 영통구 매영로 10 (매탄동, 삼성2차아파트)",경기도 수원시 영통구 매탄동 810,37.2701,127.0434,13,031-211-4265,031-215-2885,624,1988-04-28,1989-07-27,2025-08-15
매탄성일,"경기도 수원시 영통구 인계로 239 (매탄동, 매탄성일아파트)",경기도 수원시 영통구 매탄동 810-4,37.2651,127.0433,15,031-213-8883,031-213-1223,990,1988-04-01,1989-08-25,2025-08-15
정자현대,"경기도 수원시 장안구 정자천로188번길 71-21 (정자동, 현대아파트)",경기도 수원시 장안구 정자동 30-1,37.2942,126.9987,10,031-255-9123,031-307-9122,227,1989-12-14,1989-12-14,2025-08-15
동신3차,"경기도 수원시 장안구 장안로 199 (정자동, 동신아파트)",경기도 수원시 장안구 정자동 304,37.3006,126.9952,15,031-245-2824,031-245-5845,330,1989-02-25,1989-12-15,2025-08-15
그린맨션,"경기도 수원시 장안구 만석로159번길 77 (정자동, 그린맨션아파트)",경기도 수원시 장안구 정자동 417,37.3049,126.9957,13~15,031-244-7366,031-244-7365,282,1988-10-29,1990-02-02,2025-08-15
동진맨션,"경기도 수원시 장안구 정조로1060번길 5 (송죽동, 동진맨션아파트)",경기도 수원시 장안구 송죽동 465,37.3012,127.0046,15,031-248-1327,031-248-1327,180,1989-03-05,1990-04-12,2025-08-15
현대,"경기도 수원시 권선구 세지로 97 (세류동, 현대아파트)",경기도 수원시 권선구 세류동 846-1,37.2605,127.0178,10,031-237-3389,031-237-3387,276,1989-02-28,1990-04-30,2025-08-15
선경,"경기도 수원시 권선구 여기산로 19 (구운동, 선경아파트)",경기도 수원시 권선구 구운동 466,37.2791,126.978,10,031-293-5886,031-8002-5886,260,1989-05-20,1990-05-24,2025-08-15
임광,"경기도 수원시 영통구 동수원로 316 (매탄동, 임광아파트)",경기도 수원시 영통구 매탄동 1162,37.2584,127.0383,15,031-237-7374,031-238-1884,1320,1989-06-23,1990-12-28,2025-08-15
강남,"경기도 수원시 권선구 수성로 18 (구운동, 강남아파트)",경기도 수원시 권선구 구운동 463,37.282,126.9761,10~15,031-294-0744,031-293-5626,552,1989-09-18,1991-02-12,2025-08-15
삼환,"경기도 수원시 권선구 수성로 47 (구운동, 삼환아파트)",경기도 수원시 권선구 구운동 462,37.2833,126.9788,15,031-296-0863,031-292-8349,1680,1989-10-17,1991-04-16,2025-08-15
화남2차,"경기도 수원시 장안구 파장천로44번길 33 (파장동, 화남아파트)",경기도 수원시 장안구 파장동 470,37.3091,126.998,11,031-251-8188, 031-252-8189,203,1991-05-01,1991-05-24,2025-08-15
정자신미주,"경기도 수원시 장안구 수성로275번길 133 (정자동, 신미주아파트)",경기도 수원시 장안구 정자동 29-1,37.2952,126.9981,15,031-252-8762,031-244-8199,189,1990-03-28,1991-08-13,2025-08-15
화서벽산,"경기도 수원시 팔달구 팔달로165번길 39 (화서동, 벽산아파트)",경기도 수원시 팔달구 화서동 11-41,37.2834,127.0038,9~15,031-251-9979,031-252-5504,238,1991-11-20,1991-11-20,2025-08-15
한효,"경기도 수원시 권선구 세권로196번길 22 (권선동, 한효아파트)",경기도 수원시 권선구 권선동 1063-1,37.2542,127.0248,10,031-239-6495,031-239-6496,240,1990-12-26,1991-11-23,2025-08-15
우만주공3단지,"경기도 수원시 팔달구 창룡대로210번길 13 (우만동, 주공3단지아파트)",경기도 수원시 팔달구 우만동 301,37.2926,127.034,15,031-241-2872,031-252-9384,1213,1989-06-28,1992-03-11,2025-08-15
우만주공4단지,"경기도 수원시 팔달구 창룡대로 194 (우만동, 주공4단지아파트)",경기도 수원시 팔달구 우만동 300-2,37.2918,127.0298,15,031-247-9384,031-247-9245,1152,1990-02-28,1992-03-20,2025-08-15
동남빌라,"경기도 수원시 영통구 매영로 9 (매탄동, 동남빌라)",경기도 수원시 영통구 매탄동 197,37.2718,127.0446,4,031-215-0772,031-216-0773,496,1991-02-22,1992-07-21,2025-08-15
원천1차삼성,"경기도 수원시 영통구 삼성로268번길 8 (원천동, 원천1차삼성아파트)",경기도 수원시 영통구 원천동 333-4,37.265,127.0628,9~15,031-214-6676,031-211-6243,684,1991-04-26,1992-12-10,2025-08-15
원천성일,"경기도 수원시 영통구 동탄원천로1109번길 42 (매탄동, 원천성일아파트)",경기도 수원시 영통구 매탄동 13-6,37.2703,127.0561,10,031-215-3663,031-215-9121,850,1991-05-24,1992-12-18,2025-08-15
화서영광,"경기도 수원시 팔달구 덕영대로757번길 10 (화서동, 영광아파트)",경기도 수원시 팔달구 화서동 220-4,37.2791,126.9936,20,031-254-0703,031-254-3471,459,1992-12-20,1993-04-21,2025-08-15
선경1차,"경기도 수원시 팔달구 권광로317번길 12 (인계동, 선경1차아파트)",경기도 수원시 팔달구 인계동 163,37.2763,127.037,17,031-215-6010,031-216-6010,360,1991-08-21,1993-06-28,2025-08-15
권선삼성,"경기도 수원시 권선구 경수대로302번길 29 (권선동, 권선삼성아파트)",경기도 수원시 권선구 권선동 1185-2,37.2535,127.0231,8~10,031-234-2217,031-239-0111,634,1992-03-23,1993-07-01,2025-08-15
한국2차,"경기도 수원시 영통구 매영로 84 (매탄동, 한국아파트)",경기도 수원시 영통구 매탄동 917-12,37.2682,127.05,6,031-216-2470,031-304-2470,768,1992-07-26,1993-10-29,2025-08-15
신현대,"경기도 수원시 권선구 권광로27번길 22 (권선동, 신현대아파트)",경기도 수원시 권선구 권선동 1187-1,37.2509,127.0267,11,031-239-0799,031-8001-0799,188,1992-05-26,1993-11-03,2025-08-15
매탄삼성3차,"경기도 수원시 영통구 동탄원천로 1035 (매탄동, 매탄삼성3차아파트)",경기도 수원시 영통구 매탄동 1228-10,37.265,127.0498,5,031-215-9063,031-212-0944,595,1992-12-30,1993-12-09,2025-08-15
금성,"경기도 수원시 영통구 동탄원천로 1089 (매탄동, 금성아파트)",경기도 수원시 영통구 매탄동 1211-1,37.2678,127.0552,6,031-216-1456,031-216-1455,180,1992-10-08,1993-12-10,2025-08-15
한국1차,"경기도 수원시 영통구 동탄원천로1109번길 37 (매탄동, 한국아파트)",경기도 수원시 영통구 매탄동 1228-11,37.2696,127.057,9,031-215-5467,031-308-5467,496,1992-01-24,1994-01-17,2025-08-15
두산동아,"경기도 수원시 권선구 덕영대로1217번길 24 (권선동, 두산동아아파트) ",경기도 수원시 권선구 권선동 1199-1,37.2495,127.0248,10~12,031-221-8643,031-221-8645,714,1992-10-13,1994-04-25,2025-08-15
삼천리권선1차,"경기도 수원시 권선구 권광로27번길 62 (권선동, 삼천리권선1차아파트)",경기도 수원시 권선구 권선동 1186,37.2514,127.0246,9~11,031-231-9405,031-223-7438,496,1992-07-01,1994-05-09,2025-08-15
신명,"경기도 수원시 권선구 경수대로302번길 7 (권선동, 신명아파트)",경기도 수원시 권선구 권선동 1185,37.2543,127.0216,12,031-221-9459,031-302-7007,156,1993-03-26,1994-07-23,2025-08-15
신미주,"경기도 수원시 권선구 금호로 14-8 (호매실동, 신미주아파트)",경기도 수원시 권선구 호매실동 452,37.2681,126.9532,11~15,031-294-1697,031-294-3697,178,1992-07-22,1994-08-02,2025-08-15
권선한양,"경기도 수원시 권선구 경수대로302번길 22 (권선동, 권선한양아파트)",경기도 수원시 권선구 권선동 1188,37.2531,127.0214,12~13,031-221-0575,031-221-0522,664,1993-02-04,1994-08-26,2025-08-15
성지,"경기도 수원시 권선구 경수대로302번길 32 (권선동, 성지아파트)",경기도 수원시 권선구 권선동 1188-2,37.2527,127.0223,13,031-221-1741,031-234-9488,650,1992-07-29,1994-11-18,2025-08-15
신미주,"경기도 수원시 권선구 금호로15번길 15 (금곡동, 신미주아파트)",경기도 수원시 권선구 금곡동 262-27,37.2701,126.953,19,031-296-3735,031-294-3735,646,1991-12-02,1994-12-01,2025-08-15
삼익1차,"경기도 수원시 권선구 금호로 45 (금곡동, 삼익1차아파트)",경기도 수원시 권선구 금곡동 241,37.2698,126.9564,12~18,031-294-4082,031-294-4081,400,1993-04-20,1995-05-29,2025-08-15
한주,"경기도 수원시 권선구 정조로514번길 32 (세류동, 한주아파트)",경기도 수원시 권선구 세류동 1021-4,37.2549,127.0127,9,031-221-8235,031-221-8236,180,1993-11-17,1995-06-28,2025-08-15
선경,"경기도 수원시 팔달구 중부대로223번길 27 (우만동, 선경아파트)",경기도 수원시 팔달구 우만동 105,37.2775,127.0402,17~18,031-213-1733,031-890-1733,372,1993-06-14,1995-10-30,2025-08-15
거산,"경기도 수원시 권선구 서수원로591번길 43 (금곡동, 거산아파트)",경기도 수원시 권선구 금곡동 104-3,37.2779,126.9528,15,031-293-9196,031-297-9196,237,1993-09-01,1995-11-27,2025-08-15
벽산.한성,"경기도 수원시 권선구 권중로 99 (권선동, 벽산한성아파트)",경기도 수원시 권선구 권선동 1267,37.2503,127.0293,10~11,031-239-4285,031-235-2750,562,1994-07-01,1995-12-26,2025-08-15
우만삼성,"경기도 수원시 팔달구 아주로 17 (우만동, 삼성아파트)",경기도 수원시 팔달구 우만동 76-7,37.2764,127.0433,2~15,031-215-5529,031-215-5868,173,1994-04-22,1995-12-26,2025-08-15
삼천리권선2차,"경기도 수원시 권선구 매탄로 25 (권선동, 삼천리권선2차아파트)",경기도 수원시 권선구 권선동 1238,37.2539,127.0384,12,031-302-8198,031-898-8198,546,1994-07-20,1996-02-02,2025-08-15
신호,"경기도 수원시 장안구 대평로162번길 11 (정자동, 신호아파트) ",경기도 수원시 장안구 정자동 840-99,37.3024,126.9897,19,031-257-9166,031-269-9167,173,1996-12-09,1996-02-09,2025-08-15
벽산,"경기도 수원시 권선구 권중로 158 (권선동, 벽산아파트)",경기도 수원시 권선구 권선동 1270,37.2507,127.0331,12~14,031-235-2505,031-235-2502,368,1994-07-26,1996-02-17,2025-08-15
보성.유원,"경기도 수원시 권선구 권중로 110 (권선동, 보성,유원아파트)",경기도 수원시 권선구 권선동 1265,37.2494,127.0271,12,031-236-4806,031-235-6080,1200,1994-07-07,1996-02-28,2025-08-15
권선현대,"경기도 수원시 권선구 매탄로 11 (권선동, 현대아파트)",경기도 수원시 권선구 권선동 1240,37.2534,127.0377,15,031-223-1576,031-224-1576,809,1994-07-05,1996-04-25,2025-08-15
신우,"경기도 수원시 권선구 권중로 82 (권선동, 신우아파트)",경기도 수원시 권선구 권선동 1263,37.2516,127.029,11~12,031-224-2644,031-224-1462,518,1994-07-26,1996-04-26,2025-08-15
성원,"경기도 수원시 권선구 정조로 618 (세류동, 세류성원아파트)",경기도 수원시 권선구 세류동 145-1,37.2635,127.0157,12,031-224-1736,031-224-7801,366,1994-09-01,1996-04-30,2025-08-15
신동아,"경기도 수원시 권선구 권중로 136 (권선동, 신동아아파트)",경기도 수원시 권선구 권선동 1274,37.249,127.0319,12,031-224-0506,031-224-1077,1020,1994-07-25,1996-04-30,2025-08-15
인계삼성,"경기도 수원시 팔달구 권광로276번길 9 (인계동, 삼성아파트)",경기도 수원시 팔달구 인계동 371-1,37.2725,127.0365,20,031-213-0843,031-213-4360,582,1993-11-27,1996-04-30,2025-08-15
선경3차,"경기도 수원시 팔달구 권광로317번길 15 (인계동, 선경3차아파트)",경기도 수원시 팔달구 인계동 159,37.2756,127.0358,17,031-213-6535,031-213-6545,604,1993-04-30,1996-04-30,2025-08-15
"풍림,신안","경기도 수원시 권선구 권중로 31 (권선동, 풍림,신안아파트)",경기도 수원시 권선구 권선동 1235,37.2543,127.0328,13~14,031-223-6904,031-223-6905,552,1994-07-01,1996-06-24,2025-08-15
원천신미주,"경기도 수원시 영통구 삼성로 308 (원천동, 신미주아파트)",경기도 수원시 영통구 원천동 300-3,37.2668,127.0676,14~20,031-212-0785,031-212-0786,275,1994-03-07,1996-10-02,2025-08-15
금곡강남,"경기도 수원시 권선구 서수원로 607 (금곡동, 강남아파트)",경기도 수원시 권선구 금곡동 801-18,37.2792,126.9536,20,031-296-6073,031-296-6074,794,1993-12-29,1996-12-10,2025-08-15
삼정,"경기도 수원시 권선구 당진로14번길 46 (당수동, 삼정아파트)",경기도 수원시 권선구 당수동 730-1,37.2895,126.944,8~20,031-419-9244,031-419-9245,898,1994-11-26,1997-02-28,2025-08-15
화서주공4단지,"경기도 수원시 팔달구 덕영대로697번길 48 (화서동, 화서주공아파트)",경기도 수원시 팔달구 화서동 650,37.2845,126.992,15~20,031-255-4795,031-255-4796,1314,1994-12-30,1997-03-27,2025-08-15
화서주공3단지,"경기도 수원시 팔달구 덕영대로697번길 47 (화서동, 화서3단지주공아파트) ",경기도 수원시 팔달구 화서동 646-1,37.2859,126.9931,18,031-252-8533,031-306-8534,582,1994-11-16,1997-04-09,2025-08-15
화서주공5단지,"경기도 수원시 팔달구 덕영대로697번길 48 (화서동, 화서주공아파트)",경기도 수원시 팔달구 화서동 650,37.2845,126.992,15~20,031-258-6345,031-241-3267,386,1997-05-02,1997-05-02,2025-08-15
영화동성,경기도 수원시 장안구 정조로 941 (영화동),경기도 수원시 장안구 영화동 308-1,37.2913,127.0119,18,031-242-4136,031-247-0806,178,1994-05-19,1997-05-10,2025-08-15
삼성미도,"경기도 수원시 장안구 대평로162번길 50 (정자동, 삼성미도아파트)",경기도 수원시 장안구 정자동 846-22,37.3026,126.9923,20,031-244-8131,031-306-8131,251,1995-03-08,1997-08-09,2025-08-15
호매실GS,"경기도 수원시 권선구 매실로 70 (호매실동, 호매실GS아파트)",경기도 수원시 권선구 호매실동 99-1,37.2683,126.9585,20,031-297-4973,031-297-4974,1754,1994-09-29,1997-09-28,2025-08-15
천천일성,"경기도 수원시 장안구 정자로19번길 18 (천천동, 천천일성아파트)",경기도 수원시 장안구 천천동 569,37.3007,126.9794,15,031-271-0267,031-271-0265,401,1995-05-19,1997-09-30,2025-08-15
청명주공,"경기도 수원시 영통구 청명북로 81 (영통동, 청명마을주공아파트)",경기도 수원시 영통구 영통동 1048-2,37.2589,127.0799,20,031-202-2015,031-202-2141,946,1994-12-23,1997-11-10,2025-08-15
벽적골주공2단지(8단지2),"경기도 수원시 영통구 영통로290번길 26 (영통동, 벽적골주공 휴먼시아8단지)",경기도 수원시 영통구 영통동 972-9,37.2509,127.0626,20,031-202-2019,031-204-8306,600,1994-12-23,1997-11-15,2025-08-15
벽적골주공1단지(8단지1),"경기도 수원시 영통구 영통로290번길 28 (영통동, 벽적골주공 휴먼시아8단지)",경기도 수원시 영통구 영통동 972-8,37.2513,127.0622,18~20,031-202-2018,031-204-7509,948,1995-05-20,1997-11-27,2025-08-15
천천현대,"경기도 수원시 장안구 하률로46번길 17 (천천동, 현대아파트)",경기도 수원시 장안구 천천동 568,37.3027,126.9785,13~15,031-271-1599,031-306-1599,594,1995-06-10,1997-11-28,2025-08-15
신일,"경기도 수원시 장안구 화산로 263 (율전동, 신일아파트)",경기도 수원시 장안구 율전동 496-2,37.2994,126.9676,20,031-297-5377,031-297-2013,824,1995-05-04,1997-12-03,2025-08-15
신명.한국,"경기도 수원시 영통구 봉영로1770번길 21 (영통동, 신명.한국아파트)",경기도 수원시 영통구 영통동 1054-4,37.2674,127.0831,20,031-203-1063,031-205-0593,952,1995-03-15,1997-12-06,2025-08-15
황골마을주공1단지,"경기도 수원시 영통구 영통로 498 (영통동, 황골마을주공1단지아파트)",경기도 수원시 영통구 영통동 955-8,37.2632,127.0785,15~20,031-202-2013,031-202-1043,3129,1994-12-23,1997-12-06,2025-08-15
오목천태산,"경기도 수원시 권선구 매송고색로533번길 7 (오목천동, 태산아파트)",경기도 수원시 권선구 오목천동 923-18,37.2456,126.9621,19~20,031-291-4811,031-296-4811,278,1995-02-09,1997-12-10,2025-08-15
삼성태영,"경기도 수원시 영통구 봉영로1517번길 73 (영통동, 삼성.태영아파트)",경기도 수원시 영통구 영통동 969-1,37.2497,127.0646,18,031-202-0665,031-202-2391,832,1995-04-27,1997-12-12,2025-08-15
벽산.풍림,"경기도 수원시 영통구 봉영로1744번길 11 (영통동, 벽산.,풍림아파트)",경기도 수원시 영통구 영통동 1053-4,37.2666,127.0831,17~20,031-203-2863,031-203-2864,928,1995-04-13,1997-12-12,2025-08-15
벽산삼익,"경기도 수원시 영통구 청명로 132 (영통동, 벽산삼익아파트)",경기도 수원시 영통구 영통동 957-7,37.2574,127.0744,17~20,031-202-0595,031-203-3348,1242,1995-04-01,1997-12-12,2025-08-15
연무신미주,"경기도 수원시 장안구 광교산로 148 (연무동, 신미주아파트)",경기도 수원시 장안구 연무동 4-9,37.3004,127.0315,20,031-246-5730,031-892-4758,300,1994-05-06,1997-12-14,2025-08-15
신나무실주공5단지,"경기도 수원시 영통구 영통로290번길 25 (영통동, 신나무실주공단지)",경기도 수원시 영통구 영통동 964-5,37.2516,127.0627,15~20,031-206-2018,031-206-2104,1504,1995-12-15,1997-12-15,2025-08-15
두산.우성.한신,"경기도 수원시 영통구 영통로 232 (영통동, 두산.우성.한신 아파트)",경기도 수원시 영통구 영통동 973-3,37.2484,127.0585,18~20,031-203-2036,031-309-2038,1842,1995-02-28,1997-12-15,2025-08-15
한진현대,"경기도 수원시 팔달구 덕영대로735번길 18 (화서동, 한진현대아파트)",경기도 수원시 팔달구 화서동 657,37.2814,126.9926,20,031-258-4910,031-258-4913,516,1995-11-04,1997-12-15,2025-08-15
신성.신안.쌍용.진흥,"경기도 수원시 영통구 매영로310번길 12 (영통동, 신성.신안.쌍용.진흥아파트)",경기도 수원시 영통구 영통동 963-2,37.2537,127.0664,16~20,031-203-8717,031-203-8718,1616,1995-07-28,1997-12-16,2025-08-15
고색1차태산,"경기도 수원시 권선구 매송고색로673번길 11 (고색동, 고색1차태산아파트)",경기도 수원시 권선구 고색동 886-83,37.2505,126.9775,15,031-297-9481,031-297-9870,623,1995-05-18,1997-12-17,2025-08-15
신안한일,"경기도 수원시 장안구 하률로30번길 22 (천천동, 신안한일)",경기도 수원시 장안구 천천동 564,37.3026,126.9751,16-17,031-271-2461,031-271-3047,456,1995-07-22,1997-12-17,2025-08-15
동보.신명,"경기도 수원시 영통구 봉영로1517번길 76 (영통동, 동보.신명 아파트)",경기도 수원시 영통구 영통동 968,37.2511,127.0645,18~20,031-203-0805,031-203-1771,836,1997-12-19,1997-12-19,2025-08-15
화남,"경기도 수원시 장안구 화산로285번길 12 (율전동, 화남아파트)",경기도 수원시 장안구 율전동 334-49,37.3003,126.9644,20,031-297-9711,031-892-9711,200,1995-09-18,1997-12-24,2025-08-15
고색2차태산,"경기도 수원시 권선구 매송고색로691번길 9 (고색동, 고색2차태산아파트)",경기도 수원시 권선구 고색동 890-286,37.2514,126.9799,15,031-297-8994,031-297-9006,450,1995-06-20,1998-01-20,2025-08-15
"진덕,서광,성지,동아","경기도 수원시 영통구 봉영로 1526 (영통동, 살구골 진덕,서광,성지,동아 아파트)",경기도 수원시 영통구 영통동 988-9,37.2485,127.0696,16~20,031-202-2654,031-202-2655,1248,1995-02-08,1998-01-26,2025-08-15
대한,"경기도 수원시 권선구 서부로 1534 (고색동, 대한아파트)",경기도 수원시 권선구 고색동 864-52,37.2465,126.9786,11~16,031-297-5687,031-297-0198,713,1995-05-08,1998-01-31,2025-08-15
쌍용,"경기도 수원시 영통구 봉영로1744번길 16 (영통동, 쌍용아파트)",경기도 수원시 영통구 영통동 1052-2,37.2644,127.0829,20,031-203-6197,031-203-6198,872,1995-10-20,1998-03-10,2025-08-15
삼호진덕,"경기도 수원시 장안구 하률로46번길 22 (천천동, 삼호진덕아파트)",경기도 수원시 장안구 천천동 565-1,37.3027,126.9776,15,031-306-3098,031-306-3097,789,1996-03-13,1998-03-20,2025-08-15
매탄우성,"경기도 수원시 영통구 권광로290번길 34-18 (매탄동, 우성아파트)",경기도 수원시 영통구 매탄동 164-13,37.2733,127.0381,16,031-211-6585,031-211-0595,230,1993-10-25,1998-04-21,2025-08-15
현대,"경기도 수원시 영통구 매영로 366 (영통동, 현대아파트)",경기도 수원시 영통구 영통동 989-8,37.2507,127.0717,18~20,031-204-2832,031-204-8532,612,1995-12-20,1998-05-28,2025-08-15
늘푸른벽산,"경기도 수원시 장안구 율전로101번길 40 (율전동, 늘푸른벽산APT)",경기도 수원시 장안구 율전동 496-7,37.2989,126.9668,18,031-295-8662,031-295-8661,183,1995-10-20,1998-06-12,2025-08-15
삼익3차,"경기도 수원시 권선구 서수원로 589 (금곡동, 삼익3차아파트)",경기도 수원시 권선구 금곡동 79,37.2774,126.9549,18,031-295-7220,031-296-7221,712,1994-03-26,1998-06-23,2025-08-15
삼익2차,"경기도 수원시 권선구 매실로 61 (호매실동, 삼익2차아파트)",경기도 수원시 권선구 호매실동 82-5,37.2688,126.9578,14~20,031-295-5848,031-296-5848,354,1993-12-09,1998-06-23,2025-08-15
동신,"경기도 수원시 영통구 영통로 460 (영통동, 대우.동신아파트)",경기도 수원시 영통구 영통동 956-3,37.2601,127.0759,20,031-203-9216,031-203-9217,492,1995-11-01,1998-06-23,2025-08-15
대우,"경기도 수원시 영통구 영통로 460 (영통동, 대우.동신아파트)",경기도 수원시 영통구 영통동 956-3,37.2601,127.0759,18~20,031-204-6374,031-204-6375,492,1995-11-01,1998-06-26,2025-08-15
쌍용,"경기도 수원시 권선구 매실로19번길 19 (호매실동, 쌍용아파트)",경기도 수원시 권선구 호매실동 468,37.268,126.9527,12~18,031-291-3378,031-307-3378,294,1996-05-15,1998-07-29,2025-08-15
대원,"경기도 수원시 권선구 고산로6번길 45 (고색동, 대원아파트)",경기도 수원시 권선구 고색동 291,37.2484,126.9847,7~14,031-297-9611,031-295-9614,474,1996-12-10,1998-08-05,2025-08-15
율전삼성2단지,"경기도 수원시 장안구 서부로 2067 (율전동, 삼성아파트)",경기도 수원시 장안구 율전동 419,37.2934,126.9687,20,031-295-6631,031-295-3770,700,1996-06-25,1998-08-28,2025-08-15
율전삼성1단지,"경기도 수원시 장안구 서부로 2065 (율전동, 삼성아파트)",경기도 수원시 장안구 율전동 468,37.2911,126.9693,18~20,031-292-7333,031-292-7337,364,1996-06-07,1998-08-28,2025-08-15
삼성,"경기도 수원시 권선구 탑동로58번길 8 (탑동, 삼성아파트)",경기도 수원시 권선구 탑동 763,37.2746,126.9749,7~13,031-295-0053,031-295-0053,299,1997-05-24,1998-09-24,2025-08-15
극동," 경기도 수원시 영통구 매봉로27번길 11 (매탄동, 극동아파트)",경기도 수원시 영통구 매탄동 50,37.2694,127.0517,7~10,031-215-4315,031-216-7642,210,1997-03-03,1998-10-30,2025-08-15
인정프린스,"경기도 수원시 권선구 당진로15번길 53 (당수동, 인정프린스아파트)",경기도 수원시 권선구 당수동 287,37.292,126.9383,5~23,031-416-1065,031-506-1061,481,1996-05-02,1998-11-09,2025-08-15
일신건영,"경기도 수원시 권선구 매곡로 68 (금곡동, 일신건영아파트)",경기도 수원시 권선구 금곡동 252,37.2705,126.9551,16~19,031-297-6262,031-891-6240,237,1996-03-07,1998-11-11,2025-08-15
금곡엘지,"경기도 수원시 권선구 금곡로 45 (금곡동, 금곡엘지아파트)",경기도 수원시 권선구 금곡동 530,37.2713,126.9377,18~20,031-297-3181,031-297-3183,3234,1996-04-26,1998-11-28,2025-08-15
건영1차,"경기도 수원시 영통구 청명로 100 (영통동, 건영1차아파트)",경기도 수원시 영통구 영통동 1047-1,37.2558,127.0771,19,031-205-6853,031-205-6854,502,1996-03-05,1999-02-18,2025-08-15
연무성원,"경기도 수원시 장안구 창훈로60번길 31 (연무동, 성원아파트)",경기도 수원시 장안구 연무동 197-21,37.2985,127.0294,10~13,031-251-8430,031-251-8430,177,1997-01-29,1999-02-22,2025-08-15
황골주공2단지,"경기도 수원시 영통구 영통로514번길 53 (영통동, 황골마을주공2단지아파트)",경기도 수원시 영통구 영통동 948-8,37.2649,127.0813,15~20,031-204-3799,031-204-3791,1190,1995-12-20,1999-05-07,2025-08-15
